Username, DistanceMeasured, TimeTaken, DifficultyLevel
tom,7.604536 Meter,00:26,Custom
tom,5.247249 Meter,04:48,Medium
tom,5.950336 Meter,00:24,Custom
tom,7.690861 Meter,00:21,Custom
tom,7.131639 Meter,00:43,Custom
tom,3.404272 Meter,00:18,Custom
tom,4.909573 Meter,00:00,Medium
tom,5.497116 Meter,00:00,Custom
tom,5.431834 Meter,04:56,Medium
tom,5.247249 Meter,04:48,Medium
,7.618068 Meter,00:00,Custom
abc,411.8354 Centimeter,00:00,Custom
abc,4.932067 Centimeter,09:53,Easy
abc,462.256 Centimeter,00:00,Custom
judy,5.619432 Meter,04:57,Medium
judy,6.058244 Meter,04:51,Medium
